列车,起始站,到起始站时间,发车时间,到达站,出到达站时间,到达时间
G1258,松江站,10:51:30,10:51:33,花桥,10:51:46,10:51:43
G1259,上海南,10:51:57,10:52:00,花桥,10:52:13,10:52:10
G1260,上海南,10:52:37,10:52:40,松江站,10:52:50,10:52:50
G1260,松江站,10:52:50,10:52:53,花桥,10:53:06,10:53:03
G1261,上海南,10:53:17,10:53:20,花桥,10:53:33,10:53:30
G1262,上海南,10:53:57,10:54:00,松江站,10:54:10,10:54:10
G1262,松江站,10:54:10,10:54:13,花桥,10:54:26,10:54:23
G1263,上海南,10:54:37,10:54:40,花桥,10:54:53,10:54:50
G1264,上海南,10:55:17,10:55:20,松江站,10:55:30,10:55:30
G1264,松江站,10:55:30,10:55:33,花桥,10:55:46,10:55:43
G1265,上海南,10:55:57,10:56:00,花桥,10:56:13,10:56:10
G1266,上海南,10:56:37,10:56:40,松江站,10:56:50,10:56:50
G1266,松江站,10:56:50,10:56:53,花桥,10:57:06,10:57:03
G1267,上海南,10:57:17,10:57:20,花桥,10:57:33,10:57:30
G1268,上海南,10:57:57,10:58:00,松江站,10:58:10,10:58:10
G1268,松江站,10:58:10,10:58:13,花桥,10:58:26,10:58:23
G1269,上海南,10:58:37,10:58:40,花桥,10:58:53,10:58:50
G1270,上海南,10:59:17,10:59:20,松江站,10:59:30,10:59:30
G1270,松江站,10:59:30,10:59:33,花桥,10:59:46,10:59:43
G1271,上海南,10:59:57,11:00:00,花桥,11:00:13,11:00:10
G1272,上海南,11:00:37,11:00:40,松江站,11:00:50,11:00:50
G1272,松江站,11:00:50,11:00:53,花桥,11:01:06,11:01:03
G1273,上海南,11:01:17,11:01:20,花桥,11:01:33,11:01:30
G1274,上海南,11:01:57,11:02:00,松江站,11:02:10,11:02:10
G1274,松江站,11:02:10,11:02:13,花桥,11:02:26,11:02:23
G1275,上海南,11:02:37,11:02:40,花桥,11:02:53,11:02:50
G1276,上海南,11:03:17,11:03:20,松江站,11:03:30,11:03:30
G1276,松江站,11:03:30,11:03:33,花桥,11:03:46,11:03:43
G1277,上海南,11:03:57,11:04:00,花桥,11:04:13,11:04:10
G1278,上海南,11:04:37,11:04:40,松江站,11:04:50,11:04:50
G1278,松江站,11:04:50,11:04:53,花桥,11:05:06,11:05:03
G1279,上海南,11:05:17,11:05:20,花桥,11:05:33,11:05:30
G1280,上海南,11:05:57,11:06:00,松江站,11:06:10,11:06:10
G1280,松江站,11:06:10,11:06:13,花桥,11:06:26,11:06:23
G1281,上海南,11:06:37,11:06:40,花桥,11:06:53,11:06:50
G1282,上海南,11:07:17,11:07:20,松江站,11:07:30,11:07:30
G1282,松江站,11:07:30,11:07:33,花桥,11:07:46,11:07:43
G1283,上海南,11:07:57,11:08:00,花桥,11:08:13,11:08:10
G1284,上海南,11:08:37,11:08:40,松江站,11:08:50,11:08:50
G1284,松江站,11:08:50,11:08:53,花桥,11:09:06,11:09:03
G1285,上海南,11:09:17,11:09:20,花桥,11:09:33,11:09:30
G1286,上海南,11:09:57,11:10:00,松江站,11:10:10,11:10:10
G1286,松江站,11:10:10,11:10:13,花桥,11:10:26,11:10:23
G1287,上海南,11:10:37,11:10:40,花桥,11:10:53,11:10:50
G1288,上海南,11:11:17,11:11:20,松江站,11:11:30,11:11:30
G1288,松江站,11:11:30,11:11:33,花桥,11:11:46,11:11:43
G1289,上海南,11:11:57,11:12:00,花桥,11:12:13,11:12:10
G1290,上海南,11:12:37,11:12:40,松江站,11:12:50,11:12:50
G1290,松江站,11:12:50,11:12:53,花桥,11:13:06,11:13:03
G1291,上海南,11:13:17,11:13:20,花桥,11:13:33,11:13:30
G1292,上海南,11:13:57,11:14:00,松江站,11:14:10,11:14:10
G1292,松江站,11:14:10,11:14:13,花桥,11:14:26,11:14:23
G1293,上海南,11:14:37,11:14:40,花桥,11:14:53,11:14:50
G1294,上海南,11:15:17,11:15:20,松江站,11:15:30,11:15:30
G1294,松江站,11:15:30,11:15:33,花桥,11:15:46,11:15:43
G1295,上海南,11:15:57,11:16:00,花桥,11:16:13,11:16:10
G1296,上海南,11:16:37,11:16:40,松江站,11:16:50,11:16:50
G1296,松江站,11:16:50,11:16:53,花桥,11:17:06,11:17:03
G1297,上海南,11:17:17,11:17:20,花桥,11:17:33,11:17:30
G1298,上海南,11:17:57,11:18:00,松江站,11:18:10,11:18:10
G1298,松江站,11:18:10,11:18:13,花桥,11:18:26,11:18:23
G1299,上海南,11:18:37,11:18:40,花桥,11:18:53,11:18:50
G1300,上海南,11:19:17,11:19:20,松江站,11:19:30,11:19:30
G1300,松江站,11:19:30,11:19:33,花桥,11:19:46,11:19:43
G1301,上海南,11:19:57,11:20:00,花桥,11:20:13,11:20:10
G1302,上海南,11:20:37,11:20:40,松江站,11:20:50,11:20:50
G1302,松江站,11:20:50,11:20:53,花桥,11:21:06,11:21:03
G1303,上海南,11:21:17,11:21:20,花桥,11:21:33,11:21:30
G1304,上海南,11:21:57,11:22:00,松江站,11:22:10,11:22:10
G1304,松江站,11:22:10,11:22:13,花桥,11:22:26,11:22:23
G1305,上海南,11:22:37,11:22:40,花桥,11:22:53,11:22:50
G1306,上海南,11:23:17,11:23:20,松江站,11:23:30,11:23:30
G1306,松江站,11:23:30,11:23:33,花桥,11:23:46,11:23:43
G1307,上海南,11:23:57,11:24:00,花桥,11:24:13,11:24:10
G1308,上海南,11:24:37,11:24:40,松江站,11:24:50,11:24:50
G1308,松江站,11:24:50,11:24:53,花桥,11:25:06,11:25:03
G1309,上海南,11:25:17,11:25:20,花桥,11:25:33,11:25:30
G1310,上海南,11:25:57,11:26:00,松江站,11:26:10,11:26:10
G1310,松江站,11:26:10,11:26:13,花桥,11:26:26,11:26:23
G1311,上海南,11:26:37,11:26:40,花桥,11:26:53,11:26:50
G1312,上海南,11:27:17,11:27:20,松江站,11:27:30,11:27:30
G1312,松江站,11:27:30,11:27:33,花桥,11:27:46,11:27:43
G1313,上海南,11:27:57,11:28:00,花桥,11:28:13,11:28:10
G1314,上海南,11:28:37,11:28:40,松江站,11:28:50,11:28:50
G1314,松江站,11:28:50,11:28:53,花桥,11:29:06,11:29:03
G1315,上海南,11:29:17,11:29:20,花桥,11:29:33,11:29:30
G1316,上海南,11:29:57,11:30:00,松江站,11:30:10,11:30:10
G1316,松江站,11:30:10,11:30:13,花桥,11:30:26,11:30:23
G1317,上海南,11:30:37,11:30:40,花桥,11:30:53,11:30:50
G1318,上海南,11:31:17,11:31:20,松江站,11:31:30,11:31:30
G1318,松江站,11:31:30,11:31:33,花桥,11:31:46,11:31:43
G1319,上海南,11:31:57,11:32:00,花桥,11:32:13,11:32:10
G1320,上海南,11:32:37,11:32:40,松江站,11:32:50,11:32:50
G1320,松江站,11:32:50,11:32:53,花桥,11:33:06,11:33:03
G1321,上海南,11:33:17,11:33:20,花桥,11:33:33,11:33:30
G1322,上海南,11:33:57,11:34:00,松江站,11:34:10,11:34:10
G1322,松江站,11:34:10,11:34:13,花桥,11:34:26,11:34:23
G1323,上海南,11:34:37,11:34:40,花桥,11:34:53,11:34:50
G1324,上海南,11:35:17,11:35:20,松江站,11:35:30,11:35:30
G1324,松江站,11:35:30,11:35:33,花桥,11:35:46,11:35:43
G1325,上海南,11:35:57,11:36:00,花桥,11:36:13,11:36:10
G1326,上海南,11:36:37,11:36:40,松江站,11:36:50,11:36:50
G1326,松江站,11:36:50,11:36:53,花桥,11:37:06,11:37:03
G1327,上海南,11:37:17,11:37:20,花桥,11:37:33,11:37:30
G1328,上海南,11:37:57,11:38:00,松江站,11:38:10,11:38:10
G1328,松江站,11:38:10,11:38:13,花桥,11:38:26,11:38:23
G1329,上海南,11:38:37,11:38:40,花桥,11:38:53,11:38:50
G1330,上海南,11:39:17,11:39:20,松江站,11:39:30,11:39:30
G1330,松江站,11:39:30,11:39:33,花桥,11:39:46,11:39:43
G1331,上海南,11:39:57,11:40:00,花桥,11:40:13,11:40:10
G1332,上海南,11:40:37,11:40:40,松江站,11:40:50,11:40:50
G1332,松江站,11:40:50,11:40:53,花桥,11:41:06,11:41:03
G1333,上海南,11:41:17,11:41:20,花桥,11:41:33,11:41:30
G1334,上海南,11:41:57,11:42:00,松江站,11:42:10,11:42:10
G1334,松江站,11:42:10,11:42:13,花桥,11:42:26,11:42:23
G1335,上海南,11:42:37,11:42:40,花桥,11:42:53,11:42:50
G1336,上海南,11:43:17,11:43:20,松江站,11:43:30,11:43:30
G1336,松江站,11:43:30,11:43:33,花桥,11:43:46,11:43:43
G1337,上海南,11:43:57,11:44:00,花桥,11:44:13,11:44:10
G1338,上海南,11:44:37,11:44:40,松江站,11:44:50,11:44:50
G1338,松江站,11:44:50,11:44:53,花桥,11:45:06,11:45:03
G1339,上海南,11:45:17,11:45:20,花桥,11:45:33,11:45:30
G1340,上海南,11:45:57,11:46:00,松江站,11:46:10,11:46:10
G1340,松江站,11:46:10,11:46:13,花桥,11:46:26,11:46:23
G1341,上海南,11:46:37,11:46:40,花桥,11:46:53,11:46:50
G1342,上海南,11:47:17,11:47:20,松江站,11:47:30,11:47:30
G1342,松江站,11:47:30,11:47:33,花桥,11:47:46,11:47:43
G1343,上海南,11:47:57,11:48:00,花桥,11:48:13,11:48:10
G1344,上海南,11:48:37,11:48:40,松江站,11:48:50,11:48:50
G1344,松江站,11:48:50,11:48:53,花桥,11:49:06,11:49:03
G1345,上海南,11:49:17,11:49:20,花桥,11:49:33,11:49:30
G1346,上海南,11:49:57,11:50:00,松江站,11:50:10,11:50:10
G1346,松江站,11:50:10,11:50:13,花桥,11:50:26,11:50:23
G1347,上海南,11:50:37,11:50:40,花桥,11:50:53,11:50:50
G1348,上海南,11:51:17,11:51:20,松江站,11:51:30,11:51:30
G1348,松江站,11:51:30,11:51:33,花桥,11:51:46,11:51:43
G1349,上海南,11:51:57,11:52:00,花桥,11:52:13,11:52:10
G1350,上海南,11:52:37,11:52:40,松江站,11:52:50,11:52:50
G1350,松江站,11:52:50,11:52:53,花桥,11:53:06,11:53:03
G1351,上海南,11:53:17,11:53:20,花桥,11:53:33,11:53:30
G1352,上海南,11:53:57,11:54:00,松江站,11:54:10,11:54:10
G1352,松江站,11:54:10,11:54:13,花桥,11:54:26,11:54:23
G1353,上海南,11:54:37,11:54:40,花桥,11:54:53,11:54:50
G1354,上海南,11:55:17,11:55:20,松江站,11:55:30,11:55:30
G1354,松江站,11:55:30,11:55:33,花桥,11:55:46,11:55:43
G1355,上海南,11:55:57,11:56:00,花桥,11:56:13,11:56:10
G1356,上海南,11:56:37,11:56:40,松江站,11:56:50,11:56:50
G1356,松江站,11:56:50,11:56:53,花桥,11:57:06,11:57:03
G1357,上海南,11:57:17,11:57:20,花桥,11:57:33,11:57:30
G1358,上海南,11:57:57,11:58:00,松江站,11:58:10,11:58:10
G1358,松江站,11:58:10,11:58:13,花桥,11:58:26,11:58:23
G1359,上海南,11:58:37,11:58:40,花桥,11:58:53,11:58:50
G1360,上海南,11:59:17,11:59:20,松江站,11:59:30,11:59:30
G1360,松江站,11:59:30,11:59:33,花桥,11:59:46,11:59:43
G1361,上海南,11:59:57,12:00:00,花桥,12:00:13,12:00:10
G1362,上海南,12:00:37,12:00:40,松江站,12:00:50,12:00:50
G1362,松江站,12:00:50,12:00:53,花桥,12:01:06,12:01:03
G1363,上海南,12:01:17,12:01:20,花桥,12:01:33,12:01:30
G1364,上海南,12:01:57,12:02:00,松江站,12:02:10,12:02:10
G1364,松江站,12:02:10,12:02:13,花桥,12:02:26,12:02:23
G1365,上海南,12:02:37,12:02:40,花桥,12:02:53,12:02:50
G1366,上海南,12:03:17,12:03:20,松江站,12:03:30,12:03:30
G1366,松江站,12:03:30,12:03:33,花桥,12:03:46,12:03:43
G1367,上海南,12:03:57,12:04:00,花桥,12:04:13,12:04:10
G1368,上海南,12:04:37,12:04:40,松江站,12:04:50,12:04:50
G1368,松江站,12:04:50,12:04:53,花桥,12:05:06,12:05:03
G1369,上海南,12:05:17,12:05:20,花桥,12:05:33,12:05:30
G1370,上海南,12:05:57,12:06:00,松江站,12:06:10,12:06:10
G1370,松江站,12:06:10,12:06:13,花桥,12:06:26,12:06:23
G1371,上海南,12:06:37,12:06:40,花桥,12:06:53,12:06:50
G1372,上海南,12:07:17,12:07:20,松江站,12:07:30,12:07:30
G1372,松江站,12:07:30,12:07:33,花桥,12:07:46,12:07:43
G1373,上海南,12:07:57,12:08:00,花桥,12:08:13,12:08:10
G1374,上海南,12:08:37,12:08:40,松江站,12:08:50,12:08:50
G1374,松江站,12:08:50,12:08:53,花桥,12:09:06,12:09:03
G1375,上海南,12:09:17,12:09:20,花桥,12:09:33,12:09:30
G1376,上海南,12:09:57,12:10:00,松江站,12:10:10,12:10:10
G1376,松江站,12:10:10,12:10:13,花桥,12:10:26,12:10:23
G1377,上海南,12:10:37,12:10:40,花桥,12:10:53,12:10:50
G1378,上海南,12:11:17,12:11:20,松江站,12:11:30,12:11:30
G1378,松江站,12:11:30,12:11:33,花桥,12:11:46,12:11:43
G1379,上海南,12:11:57,12:12:00,花桥,12:12:13,12:12:10
G1380,上海南,12:12:37,12:12:40,松江站,12:12:50,12:12:50
G1380,松江站,12:12:50,12:12:53,花桥,12:13:06,12:13:03
G1381,上海南,12:13:17,12:13:20,花桥,12:13:33,12:13:30
G1382,上海南,12:13:57,12:14:00,松江站,12:14:10,12:14:10
G1382,松江站,12:14:10,12:14:13,花桥,12:14:26,12:14:23
G1383,上海南,12:14:37,12:14:40,花桥,12:14:53,12:14:50
G1384,上海南,12:15:17,12:15:20,松江站,12:15:30,12:15:30
G1384,松江站,12:15:30,12:15:33,花桥,12:15:46,12:15:43
G1385,上海南,12:15:57,12:16:00,花桥,12:16:13,12:16:10
G1386,上海南,12:16:37,12:16:40,松江站,12:16:50,12:16:50
G1386,松江站,12:16:50,12:16:53,花桥,12:17:06,12:17:03
G1387,上海南,12:17:17,12:17:20,花桥,12:17:33,12:17:30
G1388,上海南,12:17:57,12:18:00,松江站,12:18:10,12:18:10
G1388,松江站,12:18:10,12:18:13,花桥,12:18:26,12:18:23
G1389,上海南,12:18:37,12:18:40,花桥,12:18:53,12:18:50
G1390,上海南,12:19:17,12:19:20,松江站,12:19:30,12:19:30
G1390,松江站,12:19:30,12:19:33,花桥,12:19:46,12:19:43
G1391,上海南,12:19:57,12:20:00,花桥,12:20:13,12:20:10
G1392,上海南,12:20:37,12:20:40,松江站,12:20:50,12:20:50
G1392,松江站,12:20:50,12:20:53,花桥,12:21:06,12:21:03
G1393,上海南,12:21:17,12:21:20,花桥,12:21:33,12:21:30
G1394,上海南,12:21:57,12:22:00,松江站,12:22:10,12:22:10
G1394,松江站,12:22:10,12:22:13,花桥,12:22:26,12:22:23
G1395,上海南,12:22:37,12:22:40,花桥,12:22:53,12:22:50
G1396,上海南,12:23:17,12:23:20,松江站,12:23:30,12:23:30
G1396,松江站,12:23:30,12:23:33,花桥,12:23:46,12:23:43
G1397,上海南,12:23:57,12:24:00,花桥,12:24:13,12:24:10
G1398,上海南,12:24:37,12:24:40,松江站,12:24:50,12:24:50
G1398,松江站,12:24:50,12:24:53,花桥,12:25:06,12:25:03
G1399,上海南,12:25:17,12:25:20,花桥,12:25:33,12:25:30
G1400,上海南,12:25:57,12:26:00,松江站,12:26:10,12:26:10
G1400,松江站,12:26:10,12:26:13,花桥,12:26:26,12:26:23
G1401,上海南,12:26:37,12:26:40,花桥,12:26:53,12:26:50
G1402,上海南,12:27:17,12:27:20,松江站,12:27:30,12:27:30
G1402,松江站,12:27:30,12:27:33,花桥,12:27:46,12:27:43
G1403,上海南,12:27:57,12:28:00,花桥,12:28:13,12:28:10
G1404,上海南,12:28:37,12:28:40,松江站,12:28:50,12:28:50
G1404,松江站,12:28:50,12:28:53,花桥,12:29:06,12:29:03
G1405,上海南,12:29:17,12:29:20,花桥,12:29:33,12:29:30
G1406,上海南,12:29:57,12:30:00,松江站,12:30:10,12:30:10
G1406,松江站,12:30:10,12:30:13,花桥,12:30:26,12:30:23
G1407,上海南,12:30:37,12:30:40,花桥,12:30:53,12:30:50
G1408,上海南,12:31:17,12:31:20,松江站,12:31:30,12:31:30
G1408,松江站,12:31:30,12:31:33,花桥,12:31:46,12:31:43
G1409,上海南,12:31:57,12:32:00,花桥,12:32:13,12:32:10
G1410,上海南,12:32:37,12:32:40,松江站,12:32:50,12:32:50
G1410,松江站,12:32:50,12:32:53,花桥,12:33:06,12:33:03
G1411,上海南,12:33:17,12:33:20,花桥,12:33:33,12:33:30
G1412,上海南,12:33:57,12:34:00,松江站,12:34:10,12:34:10
G1412,松江站,12:34:10,12:34:13,花桥,12:34:26,12:34:23
G1413,上海南,12:34:37,12:34:40,花桥,12:34:53,12:34:50
G1414,上海南,12:35:17,12:35:20,松江站,12:35:30,12:35:30
G1414,松江站,12:35:30,12:35:33,花桥,12:35:46,12:35:43
G1415,上海南,12:35:57,12:36:00,花桥,12:36:13,12:36:10
G1416,上海南,12:36:37,12:36:40,松江站,12:36:50,12:36:50
G1416,松江站,12:36:50,12:36:53,花桥,12:37:06,12:37:03
G1417,上海南,12:37:17,12:37:20,花桥,12:37:33,12:37:30
G1418,上海南,12:37:57,12:38:00,松江站,12:38:10,12:38:10
G1418,松江站,12:38:10,12:38:13,花桥,12:38:26,12:38:23
G1419,上海南,12:38:37,12:38:40,花桥,12:38:53,12:38:50
G1420,上海南,12:39:17,12:39:20,松江站,12:39:30,12:39:30
G1420,松江站,12:39:30,12:39:33,花桥,12:39:46,12:39:43
G1421,上海南,12:39:57,12:40:00,花桥,12:40:13,12:40:10
G1422,上海南,12:40:37,12:40:40,松江站,12:40:50,12:40:50
G1422,松江站,12:40:50,12:40:53,花桥,12:41:06,12:41:03
G1423,上海南,12:41:17,12:41:20,花桥,12:41:33,12:41:30
G1424,上海南,12:41:57,12:42:00,松江站,12:42:10,12:42:10
G1424,松江站,12:42:10,12:42:13,花桥,12:42:26,12:42:23
G1425,上海南,12:42:37,12:42:40,花桥,12:42:53,12:42:50
G1426,上海南,12:43:17,12:43:20,松江站,12:43:30,12:43:30
G1426,松江站,12:43:30,12:43:33,花桥,12:43:46,12:43:43
G1427,上海南,12:43:57,12:44:00,花桥,12:44:13,12:44:10
G1428,上海南,12:44:37,12:44:40,松江站,12:44:50,12:44:50
G1428,松江站,12:44:50,12:44:53,花桥,12:45:06,12:45:03
G1429,上海南,12:45:17,12:45:20,花桥,12:45:33,12:45:30
G1430,上海南,12:45:57,12:46:00,松江站,12:46:10,12:46:10
G1430,松江站,12:46:10,12:46:13,花桥,12:46:26,12:46:23
G1431,上海南,12:46:37,12:46:40,花桥,12:46:53,12:46:50
G1432,上海南,12:47:17,12:47:20,松江站,12:47:30,12:47:30
G1432,松江站,12:47:30,12:47:33,花桥,12:47:46,12:47:43
G1433,上海南,12:47:57,12:48:00,花桥,12:48:13,12:48:10
G1434,上海南,12:48:37,12:48:40,松江站,12:48:50,12:48:50
G1434,松江站,12:48:50,12:48:53,花桥,12:49:06,12:49:03
G1435,上海南,12:49:17,12:49:20,花桥,12:49:33,12:49:30
G1436,上海南,12:49:57,12:50:00,松江站,12:50:10,12:50:10
G1436,松江站,12:50:10,12:50:13,花桥,12:50:26,12:50:23
G1437,上海南,12:50:37,12:50:40,花桥,12:50:53,12:50:50
G1438,上海南,12:51:17,12:51:20,松江站,12:51:30,12:51:30
G1438,松江站,12:51:30,12:51:33,花桥,12:51:46,12:51:43
G1439,上海南,12:51:57,12:52:00,花桥,12:52:13,12:52:10
G1440,上海南,12:52:37,12:52:40,松江站,12:52:50,12:52:50
G1440,松江站,12:52:50,12:52:53,花桥,12:53:06,12:53:03
G1441,上海南,12:53:17,12:53:20,花桥,12:53:33,12:53:30
G1442,上海南,12:53:57,12:54:00,松江站,12:54:10,12:54:10
G1442,松江站,12:54:10,12:54:13,花桥,12:54:26,12:54:23
G1443,上海南,12:54:37,12:54:40,花桥,12:54:53,12:54:50
G1444,上海南,12:55:17,12:55:20,松江站,12:55:30,12:55:30
G1444,松江站,12:55:30,12:55:33,花桥,12:55:46,12:55:43
G1445,上海南,12:55:57,12:56:00,花桥,12:56:13,12:56:10
G1446,上海南,12:56:37,12:56:40,松江站,12:56:50,12:56:50
G1446,松江站,12:56:50,12:56:53,花桥,12:57:06,12:57:03
G1447,上海南,12:57:17,12:57:20,花桥,12:57:33,12:57:30
G1448,上海南,12:57:57,12:58:00,松江站,12:58:10,12:58:10
G1448,松江站,12:58:10,12:58:13,花桥,12:58:26,12:58:23
G1449,上海南,12:58:37,12:58:40,花桥,12:58:53,12:58:50
G1450,上海南,12:59:17,12:59:20,松江站,12:59:30,12:59:30
G1450,松江站,12:59:30,12:59:33,花桥,12:59:46,12:59:43
G1451,上海南,12:59:57,13:00:00,花桥,13:00:13,13:00:10
G1452,上海南,13:00:37,13:00:40,松江站,13:00:50,13:00:50
G1452,松江站,13:00:50,13:00:53,花桥,13:01:06,13:01:03
G1453,上海南,13:01:17,13:01:20,花桥,13:01:33,13:01:30
G1454,上海南,13:01:57,13:02:00,松江站,13:02:10,13:02:10
G1454,松江站,13:02:10,13:02:13,花桥,13:02:26,13:02:23
G1455,上海南,13:02:37,13:02:40,花桥,13:02:53,13:02:50
G1456,上海南,13:03:17,13:03:20,松江站,13:03:30,13:03:30
G1456,松江站,13:03:30,13:03:33,花桥,13:03:46,13:03:43
G1457,上海南,13:03:57,13:04:00,花桥,13:04:13,13:04:10
G1458,上海南,13:04:37,13:04:40,松江站,13:04:50,13:04:50
G1458,松江站,13:04:50,13:04:53,花桥,13:05:06,13:05:03
G1459,上海南,13:05:17,13:05:20,花桥,13:05:33,13:05:30
G1460,上海南,13:05:57,13:06:00,松江站,13:06:10,13:06:10
G1460,松江站,13:06:10,13:06:13,花桥,13:06:26,13:06:23
G1461,上海南,13:06:37,13:06:40,花桥,13:06:53,13:06:50
G1462,上海南,13:07:17,13:07:20,松江站,13:07:30,13:07:30
G1462,松江站,13:07:30,13:07:33,花桥,13:07:46,13:07:43
G1463,上海南,13:07:57,13:08:00,花桥,13:08:13,13:08:10
G1464,上海南,13:08:37,13:08:40,松江站,13:08:50,13:08:50
G1464,松江站,13:08:50,13:08:53,花桥,13:09:06,13:09:03
G1465,上海南,13:09:17,13:09:20,花桥,13:09:33,13:09:30
G1466,上海南,13:09:57,13:10:00,松江站,13:10:10,13:10:10
G1466,松江站,13:10:10,13:10:13,花桥,13:10:26,13:10:23
G1467,上海南,13:10:37,13:10:40,花桥,13:10:53,13:10:50
G1468,上海南,13:11:17,13:11:20,松江站,13:11:30,13:11:30
G1468,松江站,13:11:30,13:11:33,花桥,13:11:46,13:11:43
G1469,上海南,13:11:57,13:12:00,花桥,13:12:13,13:12:10
G1470,上海南,13:12:37,13:12:40,松江站,13:12:50,13:12:50
G1470,松江站,13:12:50,13:12:53,花桥,13:13:06,13:13:03
G1471,上海南,13:13:17,13:13:20,花桥,13:13:33,13:13:30
G1472,上海南,13:13:57,13:14:00,松江站,13:14:10,13:14:10
G1472,松江站,13:14:10,13:14:13,花桥,13:14:26,13:14:23
G1473,上海南,13:14:37,13:14:40,花桥,13:14:53,13:14:50
G1474,上海南,13:15:17,13:15:20,松江站,13:15:30,13:15:30
G1474,松江站,13:15:30,13:15:33,花桥,13:15:46,13:15:43
G1475,上海南,13:15:57,13:16:00,花桥,13:16:13,13:16:10
G1476,上海南,13:16:37,13:16:40,松江站,13:16:50,13:16:50
G1476,松江站,13:16:50,13:16:53,花桥,13:17:06,13:17:03
G1477,上海南,13:17:17,13:17:20,花桥,13:17:33,13:17:30
G1478,上海南,13:17:57,13:18:00,松江站,13:18:10,13:18:10
G1478,松江站,13:18:10,13:18:13,花桥,13:18:26,13:18:23
G1479,上海南,13:18:37,13:18:40,花桥,13:18:53,13:18:50
G1480,上海南,13:19:17,13:19:20,松江站,13:19:30,13:19:30
G1480,松江站,13:19:30,13:19:33,花桥,13:19:46,13:19:43
G1481,上海南,13:19:57,13:20:00,花桥,13:20:13,13:20:10
G1482,上海南,13:20:37,13:20:40,松江站,13:20:50,13:20:50
G1482,松江站,13:20:50,13:20:53,花桥,13:21:06,13:21:03
G1483,上海南,13:21:17,13:21:20,花桥,13:21:33,13:21:30
G1484,上海南,13:21:57,13:22:00,松江站,13:22:10,13:22:10
G1484,松江站,13:22:10,13:22:13,花桥,13:22:26,13:22:23
G1485,上海南,13:22:37,13:22:40,花桥,13:22:53,13:22:50
G1486,上海南,13:23:17,13:23:20,松江站,13:23:30,13:23:30
G1486,松江站,13:23:30,13:23:33,花桥,13:23:46,13:23:43
G1487,上海南,13:23:57,13:24:00,花桥,13:24:13,13:24:10
G1488,上海南,13:24:37,13:24:40,松江站,13:24:50,13:24:50
G1488,松江站,13:24:50,13:24:53,花桥,13:25:06,13:25:03
G1489,上海南,13:25:17,13:25:20,花桥,13:25:33,13:25:30
G1490,上海南,13:25:57,13:26:00,松江站,13:26:10,13:26:10
G1490,松江站,13:26:10,13:26:13,花桥,13:26:26,13:26:23
G1491,上海南,13:26:37,13:26:40,花桥,13:26:53,13:26:50
G1492,上海南,13:27:17,13:27:20,松江站,13:27:30,13:27:30
G1492,松江站,13:27:30,13:27:33,花桥,13:27:46,13:27:43
G1493,上海南,13:27:57,13:28:00,花桥,13:28:13,13:28:10
G1494,上海南,13:28:37,13:28:40,松江站,13:28:50,13:28:50
G1494,松江站,13:28:50,13:28:53,花桥,13:29:06,13:29:03
G1495,上海南,13:29:17,13:29:20,花桥,13:29:33,13:29:30
G1496,上海南,13:29:57,13:30:00,松江站,13:30:10,13:30:10
G1496,松江站,13:30:10,13:30:13,花桥,13:30:26,13:30:23
G1497,上海南,13:30:37,13:30:40,花桥,13:30:53,13:30:50
G1498,上海南,13:31:17,13:31:20,松江站,13:31:30,13:31:30
G1498,松江站,13:31:30,13:31:33,花桥,13:31:46,13:31:43
G1499,上海南,13:31:57,13:32:00,花桥,13:32:13,13:32:10
G1500,上海南,13:32:37,13:32:40,松江站,13:32:50,13:32:50
G1500,松江站,13:32:50,13:32:53,花桥,13:33:06,13:33:03
G1501,上海南,13:33:17,13:33:20,花桥,13:33:33,13:33:30
G1502,上海南,13:33:57,13:34:00,松江站,13:34:10,13:34:10
G1502,松江站,13:34:10,13:34:13,花桥,13:34:26,13:34:23
G1503,上海南,13:34:37,13:34:40,花桥,13:34:53,13:34:50
G1504,上海南,13:35:17,13:35:20,松江站,13:35:30,13:35:30
G1504,松江站,13:35:30,13:35:33,花桥,13:35:46,13:35:43
G1505,上海南,13:35:57,13:36:00,花桥,13:36:13,13:36:10
G1506,上海南,13:36:37,13:36:40,松江站,13:36:50,13:36:50
G1506,松江站,13:36:50,13:36:53,花桥,13:37:06,13:37:03
G1507,上海南,13:37:17,13:37:20,花桥,13:37:33,13:37:30
G1508,上海南,13:37:57,13:38:00,松江站,13:38:10,13:38:10
G1508,松江站,13:38:10,13:38:13,花桥,13:38:26,13:38:23
G1509,上海南,13:38:37,13:38:40,花桥,13:38:53,13:38:50
G1510,上海南,13:39:17,13:39:20,松江站,13:39:30,13:39:30
G1510,松江站,13:39:30,13:39:33,花桥,13:39:46,13:39:43
G1511,上海南,13:39:57,13:40:00,花桥,13:40:13,13:40:10
G1512,上海南,13:40:37,13:40:40,松江站,13:40:50,13:40:50
G1512,松江站,13:40:50,13:40:53,花桥,13:41:06,13:41:03
G1513,上海南,13:41:17,13:41:20,花桥,13:41:33,13:41:30
G1514,上海南,13:41:57,13:42:00,松江站,13:42:10,13:42:10
G1514,松江站,13:42:10,13:42:13,花桥,13:42:26,13:42:23
G1515,上海南,13:42:37,13:42:40,花桥,13:42:53,13:42:50
G1516,上海南,13:43:17,13:43:20,松江站,13:43:30,13:43:30
